stn,n_joined,n_surge
napoli-nap-ita-ispra,142412,235065
nardana_patches-58178-aus-bom,77415,120337
narvik-nvk-nor-nhs,70104,670464
national_steel-nsl-usa-cdwr,133277,135136
nauru-004b-nru-uhslc,155741,206408
nawiliwili-1611400-usa-noaa,185221,576872
naze-hd22-jpn-jodc_jcg,174898,527381
neah_bay_wa-558a-usa-uhslc,96266,719180
nelson-077a-nzl-uhslc,91607,202693
nes-nes-nld-rws,163530,417430
new_haven-8465705-usa-noaa,186575,188373
new_london_ct-744a-usa-uhslc,162941,672484
new_westminster_bc-7654-can-meds,182556,430177
newcastle-60310-aus-bom,174281,468586
newhaven-new-gbr-cmems,179091,248148
newlyn-new-gbr-bodc,172182,767391
newport-new-gbr-cmems,150889,207726
newport_ri-253a-usa-uhslc,166181,743983
nezugaseki-gs07-jpn-jodc_giaj,166673,516642
nice-339-fra-refmar,162603,191987
nieuwe_statenzijl-nieuwstzl-nld-rws,162616,346808
niigatakonishiko-0103-jpn-jodc_pahb,160426,160426
nikiski-9455760-usa-noaa,185970,237891
nikolski-9462450-usa-noaa,117184,117184
nishinoomote-363a-jpn-uhslc,96000,463350
nome_ak-595a-usa-uhslc,155589,186947
noordwijk_meetpost-noordwmpt-nld-rws,57049,201018
nordenham-4106-deu-wsv,176579,224026
nordrerose-nor-dnk-cmems,104515,157490
norfolk_island-57700-aus-bom,130849,177475
north_shields-nsh-gbr-bodc,170950,412091
north_sydney-612-can-meds,182909,436445
noto-ma80-jpn-jodc_jma,164104,188886
nuku_alofa-038a-ton-uhslc,160984,246493
nuku_hiva-031a-fra-uhslc,129319,226357
numbo_noumea-659-fra-refmar,128703,128703
nylesund-823a-nor-uhslc,60473,340094
ocean_city_inlet-8570283-usa-noaa,164111,174310
odomari-hd20-jpn-jodc_jcg,171747,469541
ofunato-ma10-jpn-jodc_jma,162545,464782
oga-gs14-jpn-jodc_giaj,101255,410174
ogdensburg_ny-8311030-usa-noaa,188165,525864
ogi-gs20-jpn-jodc_giaj,173558,399323
oita-hd16-jpn-jodc_jcg,174918,455980
okada-ma17-jpn-jodc_jma,168255,494273
okinawa-gs21-jpn-jodc_giaj,170920,382197
okushiri-gs24-jpn-jodc_giaj,102184,212915
olandsnorraudde-ola-swe-cmems,180700,483272
olcott_ny-9052076-usa-noaa,181569,461868
old_port_tampa-8726607-usa-noaa,164718,180478
omaezaki-ma20-jpn-jodc_jma,68933,500861
ominato-hd04-jpn-jodc_jcg,71980,478283
onahama-ma12-jpn-jodc_jma,165269,458458
onisaki-gs09-jpn-jodc_giaj,69965,480289
oregon_inlet_marina-8652587-usa-noaa,187488,276975
ortona-ort-ita-ispra,173237,192927
osaka-ma30-jpn-jodc_jma,70103,516525
oscarsborg-osc-nor-nhs,113109,512505
oshoro-gs04-jpn-jodc_giaj,172771,730938
oskarshamn-2085-swe-smhi,116156,526962
oslebshausen-4883-deu-wsv,176586,220579
oslo-osl-nor-nhs,181884,869739
osteriff-92-deu-wsv,107539,119230
oswego_ny-9052030-usa-noaa,189015,505802
otaru-ma77-jpn-jodc_jma,100867,193185
otaruko-0138-jpn-jodc_pahb,111101,250479
otranto-otr-ita-ispra,179193,239060
oudeschild-oudsd-nld-rws,163436,417059
oulu-oul-fin-cmems,103685,416222
oura-ma47-jpn-jodc_jma,171086,444779
over-94-deu-wsv,173476,190253
owase-ma24-jpn-jodc_jma,171378,458603
oyster_landing_n_inlet_estuary-8662245-usa-noaa,149728,149728
pago_bay-1631428-usa-noaa,128499,128499
pago_pago-056a-asm-uhslc,160436,593266
paita-678b-per-uhslc,129152,223020
paldiski-pal-est-cmems,108985,108985
palermo-pal-ita-ispra,151161,167559
palinuro-pal-ita-ispra,185343,262505
palma-palm-esp-ieo,109232,130518
palmeira-235a-cpv-uhslc,153218,153218
panama_city-8729108-usa-noaa,182982,375856
panama_city_beach-8729210-usa-noaa,137053,195705
papeete-015b-fra-uhslc,160122,372293
parnu-par-est-cmems,41208,91643
parry_sound_ontario-11375-can-meds,116281,516979
pascagoula_noaa_lab-8741533-usa-noaa,93806,137313
patonga-212440-aus-bom,171328,237152
patricia_bay_bc-7277-can-meds,184709,387974
peel_inlet-plpee01-aus-bom,142181,259975
penang-144a-mys-uhslc,137515,264937
penrhyn-024a-cok-uhslc,160016,349102
pensacola_fl-762a-usa-uhslc,156013,805775
perth_barrack_street_jetty-6223a-aus-bom,165183,252464
petten_zuid-pettzd-nld-rws,153516,350477
philadelphia-8545240-usa-noaa,187951,280896
pietarsaari-pie-fin-cmems,168749,406843
pietarsaari_leppaluoto-134250-fin-fmi,111807,416147
pilots_station_east-8760922-usa-noaa,144775,146064
pinnau_sperrwerk_bp-95-deu-wsv,180854,199950
pisco-683b-per-uhslc,48513,158094
pluz-pluz-esp-ieo,131065,338117
plymouth-ply-gbr-cmems,101338,240323
pohnpei-001c-fsm-uhslc,137605,141388
pohnpei-67950-fsm-bom,149918,149918
point_atkinson_bc-7795-can-meds,181604,698932
point_edward_ontario-11940-can-meds,184500,507770
point_iroquois_mi-9099004-usa-noaa,188774,451648
point_lonsdale-60730-aus-bom,96713,484721
point_reyes-9415020-usa-noaa,187544,399922
point_richards_corio_bay-60757-aus-bom,165842,174589
pointe_claire-15330-can-meds,161119,562080
pointe_des_cascades-15220-can-meds,168243,512040
pointe_pitre-272a-fra-uhslc,102340,179869
ponta_delgada-211a-prt-uhslc,153724,264670
pori-por-fin-cmems,173952,411856
pori_mantyluoto_kallo-134266-fin-fmi,182880,421458
port_adelaide_inner_harbor-61610-aus-bom,142266,510962
port_adelaide_outer_harbor-61600-aus-bom,174556,672738
port_alberni_bc-8575-can-meds,79513,308164
port_alexander-9451054-usa-noaa,56696,121245
port_alfred-3460-can-meds,121906,287282
port_alma-59690-aus-bom,174378,296040
port_angeles_wa-584a-usa-uhslc,166383,263399
port_aux_basques-665-can-meds,171392,497064
port_bloc-15-fra-refmar,61058,279738
port_chalmers-669a-nzl-uhslc,165131,202311
port_chicago-9415144-usa-noaa,119349,359612
port_colborne_ontario-12865-can-meds,185436,535229
port_douglas-59040-aus-bom,113452,207516
port_dover_ontario-12710-can-meds,183394,506215
port_elizabeth-184a-zaf-uhslc,93327,301539
port_fourchon-8762075-usa-noaa,150658,150658
port_giles-61685-aus-bom,68570,223038
port_hardy_bc-8408-can-meds,184604,488696
port_hedland-169a-aus-uhslc,163132,298915
port_hedland-62590-aus-bom,168267,431982
port_inland_mi-9087096-usa-noaa,180302,433534
port_isabel-8779770-usa-noaa,73707,637436
port_kembla-342a-aus-uhslc,165126,238215
port_lambton_ontario-11950-can-meds,71294,512209
port_lincoln-61900-aus-bom,169301,469492
port_louis-103c-mus-uhslc,164337,280673
port_macquarie-207420-aus-bom,170060,276298
port_manatee-8726384-usa-noaa,175783,200529
port_nolloth-701a-zaf-uhslc,69306,399429
port_orford_or-557a-usa-uhslc,84081,308025
port_pirie-61800-aus-bom,171974,743013
port_saint_francois-3365-can-meds,148495,346774
port_san_luis-9412110-usa-noaa,188104,610800
port_stanley-290b-gbr-uhslc,107615,167541
port_stanley_ontario-12400-can-meds,166106,532321
port_stanvac-100a-aus-uhslc,26092,159569
port_townsend-9444900-usa-noaa,188419,400485
port_vendres-75-fra-refmar,114394,243072
port_vila-046b-vut-uhslc,60221,218590
port_weller_ontario-13030-can-meds,185900,534445
portellen-por-gbr-cmems,25012,169341
porterin-por-gbr-cmems,126732,166198
portland_me-252a-usa-uhslc,165677,924525
portland_victoria-129a-aus-uhslc,165751,243013
portneuf-3300-can-meds,183450,457728
porto_empedocle-por-ita-ispra,63712,221798
porto_torres-por-ita-ispra,180371,235691
portpatrick-por-gbr-cmems,67155,240024
portrush-pru-gbr-bodc,160773,199036
prince_rupert_bc-9354-can-meds,113905,783445
providence-8454000-usa-noaa,186558,631883
prudhoe_bay_ak-579a-usa-uhslc,161521,240557
pt_la_rue-121a-syc-uhslc,163520,223696
puerto_armuelles-304b-pan-uhslc,17251,165353
puerto_montt-684a-chl-uhslc,95038,323014
puerto_princesa-380a-phl-uhslc,57073,122143
queen_charlotte_city-9850-can-meds,183959,494757
queenscliff-60732-aus-bom,68306,237009
quonset_point-8454049-usa-noaa,115261,180891
raahe-raa-fin-cmems,166794,401053
rak_noord-raknd-nld-rws,57749,413807
rak_zuid-rakzd-nld-rws,163701,417719
rarotonga-023b-cok-uhslc,160140,221031
ratan-2056-swe-smhi,104420,1041030
rauma-rau-fin-cmems,176003,428736
ravenna-rav-ita-ispra,54354,225691
rechtenfleth-4108-deu-wsv,176575,224907
red_dog_dock-9491094-usa-noaa,143757,143757
redwood_city-9414523-usa-noaa,74658,226098
reggio_calabria-reg-ita-ispra,181237,182620
reunion-164a-fra-uhslc,144440,281619
richards_bay-188a-zaf-uhslc,115079,194254
richmond-9414863-usa-noaa,181547,216527
rikitea-016a-fra-uhslc,160521,405462
rimouski-2985-can-meds,70500,300322
ringhals-2105-swe-smhi,113705,440464
riviere_au_renard-2330-can-meds,168558,418788
robbensudsteert-4110-deu-wsv,176528,219452
rock_cut_mi-9076024-usa-noaa,172959,172959
rockport_tx-769a-usa-uhslc,53421,538170
rodby-rod-dnk-cmems,135377,135377
rodrigues-105a-mus-uhslc,153813,263569
rodvig-rod-dnk-cmems,163494,233019
ronne-ron-dnk-cmems,40413,145682
roompot_binnen-roompbnn-nld-rws,163374,275687
rorvik-rvk-nor-nhs,112514,430402
roscoff_60minute-ros-fra-cmems,172072,392012
rosslyn_bay-330a-aus-uhslc,60682,224535
rossport_ontario-10220-can-meds,185050,455260
rothera-rot-gbr-noc,124822,124822
rough_and_ready_island-rri-usa-cdwr,176216,176216
rumoiko-0132-jpn-jodc_pahb,58043,234722
sabine_pass_north-8770570-usa-noaa,177914,304269
sacramento_r_at_snodgrass-sgx-usa-cdwr,182141,324511
sado-ma79-jpn-jodc_jma,164412,189764
sagunto-sag-esp-cmems,116785,116785
saigo-ma54-jpn-jodc_jma,169616,494474
sainildas_60minute-sai-fra-cmems,74446,398755
saint_francois_io-3100-can-meds,183673,497927
saint_john-65-can-meds,155406,850336
saint_joseph_de_la_rive-3057-can-meds,181706,413074
saint_malo-410-fra-refmar,181909,228877
saint_nazaire-37-fra-refmar,167901,991463
sainte_anne_de_bellevue-16005-can-meds,170228,471479
saipan-028b-usa-uhslc,139068,311754
sakai-ma53-jpn-jodc_jma,162408,421605
sakatako-0102-jpn-jodc_pahb,155244,155244
salalah-114a-omn-uhslc,129159,210536
saldahna_bay-703a-zaf-uhslc,51041,245284
salerno-sal-ita-ispra,166487,203075
salvador-708b-bra-uhslc,122330,122330
san_andres-737a-col-uhslc,112994,135381
san_diego-9410170-usa-noaa,188608,987832
san_felix-035a-chl-uhslc,149887,233100
san_joaquin_r_at_brandt_bridge-bdt-usa-cdwr,93867,137614
san_joaquin_r_at_prisoners_pt_near_termino-pri-usa-cdwr,118955,120570
san_joaquin_r_at_rindge_pump-rgp-usa-cdwr,179738,326600
san_juan-096a-per-uhslc,15728,177963
san_juan_pr-245a-usa-uhslc,165519,346828
sand_point-9459450-usa-noaa,116396,414287
sandakan-389a-mys-uhslc,34087,186159
sandown_pier-sdp-gbr-cco,122013,122013
sandy_hook-8531680-usa-noaa,185897,813712
santa_barbara_ca-577a-usa-uhslc,119001,192251
santa_cruz-030a-ecu-uhslc,164359,339607
santa_monica_ca-578a-usa-uhslc,166127,374776
santander-san-esp-cmems,183710,248956
sasebo-hd19-jpn-jodc_jcg,171630,593986
sassnitz-sas-deu-cmems,129165,129165
sault_ste_marie_ontario-10980-can-meds,184540,500203
scheveningen-schevngn-nld-rws,163770,417955
schiermonnikoog-schiermnog-nld-rws,163610,417643
schopfstelle_pegel_hpa-3343-deu-wsv,177871,179509
schulau-96-deu-wsv,174288,193264
scott_base-663a-nzl-uhslc,48330,83564
seattle-9447130-usa-noaa,186624,1071377
seavey_island-8419870-usa-noaa,19917,478362
sedili-324a-mys-uhslc,138382,249197
seemannshoft_pegel_hpa-3345-deu-wsv,182220,183855
seldovia_ak-561a-usa-uhslc,156284,337679
sendaiko-0112-jpn-jodc_pahb,18771,85318
sept_iles-2780-can-meds,70315,381030
settlement_point-257a-bhs-uhslc,17912,132996
settlement_point-257b-bhs-uhslc,133456,133456
seward-9455090-usa-noaa,188287,379556
sewells_point-8638610-usa-noaa,186954,800306
shediac_bay-1805-can-meds,130281,284657
sheerness-she-gbr-bodc,78088,342463
shibaura-hd07-jpn-jodc_jcg,68945,371175
shibushiko-0114-jpn-jodc_pahb,165201,165201
shimizuminato-ma19-jpn-jodc_jma,69039,477386
shimokita-ma74-jpn-jodc_jma,172982,198881
shimonoseki-ma51-jpn-jodc_jma,107505,405894
ship_john_shoal-8537121-usa-noaa,59134,152894
shirahama-ma27-jpn-jodc_jma,173324,447641
shute_harbour-59410-aus-bom,154860,268387
sibolga-122a-idn-uhslc,28321,119829
simons_town-221a-zaf-uhslc,67404,402412
simrishamn-sim-swe-cmems,68595,328312
sitka_ak-559a-usa-uhslc,165192,698097
sjaellandsodde-sja-dnk-cmems,60471,224808
skagen-ska-dnk-cmems,159271,222424
skagsudde-2321-swe-smhi,151687,225863
skagway-9452400-usa-noaa,74041,338984
skamokawa-9440569-usa-noaa,62497,155593
skanor-ska-swe-cmems,182061,248785
slipshavn-sli-dnk-cmems,92481,134027
smogen-smo-swe-cmems,112826,958767
socoa_60minute-soc-fra-cmems,110712,396623
solomons_island-8577330-usa-noaa,172491,311210
soma-gs18-jpn-jodc_giaj,170301,393098
sorel-15930-can-meds,180004,465882
south_beach-9435380-usa-noaa,188778,473489
south_trees-h052026a-aus-bom,173581,204990
spijkenisse-spijknse-nld-rws,163730,417695
spikarna-2061-swe-smhi,177956,442090
spodsbjerg-spo-dnk-cmems,15577,122442
spring_bay-61170-aus-bom,172461,292436
springmaid_pier-8661070-usa-noaa,172779,358235
st_clair_shores_mi-9034052-usa-noaa,186159,463858
st_clair_state_police_mi-9014080-usa-noaa,74420,440877
st_helens-9439201-usa-noaa,169305,169305
st_johns-276b-can-uhslc,160954,247596
st_petersburg_fl-759a-usa-uhslc,162974,607473
stadersand-98-deu-wsv,182352,201333
stanley-sta-gbr-noc,105438,165829
stavanger-svg-nor-nhs,183317,777734
stavenisse-stavnse-nld-rws,163492,417344
stenungsund-2110-swe-smhi,71843,486948
steveston_bc-7607-can-meds,42488,287078
sthelier-sth-gbr-cmems,180434,240242
stockholm-sto-swe-cmems,183137,1152974
stor_sperrwerk_bp-99-deu-wsv,183035,193422
stornoway-295a-gbr-uhslc,72871,289478
stpetersburg-stp-rus-cmems,112466,112928
sturgeon_point_ny-9063028-usa-noaa,187342,368392
summerstown_ontario-14940-can-meds,183796,502402
sumoto-ma32-jpn-jodc_jma,104857,476039
sunrise_club-snc-usa-cdwr,170413,218003
surabaya-160a-idn-uhslc,28155,147844
susa-gs16-jpn-jodc_giaj,104744,425139
suva-67050-fji-bom,174279,192646
sydney_port_jackson-213470-aus-bom,173890,272245
syowa_antarctica-127a-ata-uhslc,34546,241786
syowa_station_antarctica-hd50-ata-jodc_jcg,162964,275509
tacoma-9446484-usa-noaa,189276,211076
tago-gs22-jpn-jodc_giaj,174300,367520
tajiri-gs10-jpn-jodc_giaj,68811,452973
takamatsu-ma35-jpn-jodc_jma,175181,450776
tallinn-tal-est-cmems,115212,115212
tanegashima-ma75-jpn-jodc_jma,174103,197089
tanjong_pagar-699a-sgp-uhslc,163025,259173
tannowa-ma29-jpn-jodc_jma,175195,449773
tappi-hd27-jpn-jodc_jcg,172608,309005
taranaki-076a-nzl-uhslc,91687,473481
taranto-tar-ita-ispra,164192,210848
tarawa_betio-67590-kir-bom,166099,225284
tarifa-tari-esp-ieo,138168,589331
tauranga-073a-nzl-uhslc,149924,271516
tawau-385a-mys-uhslc,126194,228288
tejn-tej-dnk-cmems,130266,130431
tenerife-ten-esp-cmems,182916,243506
tenerife-ten-esp-da_mm,109366,631804
terneuzen-ternzn-nld-rws,163751,417976
terschelling_noordzee-terslnze-nld-rws,163514,258268
texel_noordzee-texnze-nld-rws,156112,248809
the_battery-8518750-usa-noaa,183454,819613
thessalon_ontario-11070-can-meds,113382,502097
thevenard-128a-aus-uhslc,165698,233104
thursday_island-58170-aus-bom,68254,205386
tioman-323a-mys-uhslc,135413,255116
toba-ma23-jpn-jodc_jma,102587,471972
tobermory-tob-gbr-cmems,104822,236118
tobermory_ontario-11690-can-meds,185356,510597
tobishima-gs25-jpn-jodc_giaj,171689,212900
tofino_bc-8615-can-meds,113557,737189
tokachiko-0122-jpn-jodc_pahb,150431,289419
toke_point-9440910-usa-noaa,183543,390197
tokuyama-hd15-jpn-jodc_jcg,175067,602207
tolchester_beach-8573364-usa-noaa,172574,239843
tomakomaihigashiko-0146-jpn-jodc_pahb,154899,217094
tomakomainishiko-0136-jpn-jodc_pahb,171703,449141
toronto_ontario-13320-can-meds,185277,535306
tosashimizu-ma39-jpn-jodc_jma,173187,512757
toulon_60minute-tou-fra-cmems,159985,288249
townsville-334a-aus-uhslc,165790,305210
toyama-349a-jpn-uhslc,163526,440837
tregde-804a-nor-uhslc,94159,751073
trident_pier-8721604-usa-noaa,187328,231073
trois_rivieres-3360-can-meds,182892,732714
tromso-tos-nor-nhs,182808,573595
trondheim-trd-nor-nhs,113498,267874
tsushima-ma72-jpn-jodc_jma,86560,113536
tumaco-303a-col-uhslc,124263,497958
turku-tur-fin-cmems,175792,430187
turku_ruissalo_saaronniemi-134225-fin-fmi,116572,317781
turner_cut_near_holt-trn-usa-cdwr,118730,118730
turtle_head-58180-aus-bom,170147,246293
uchiura-ma18-jpn-jodc_jma,102361,507829
uetersen-100-deu-wsv,182130,187938
ullapool-ull-gbr-bodc,165991,366583
ulukhaktok-6380-can-meds,92036,92036
uno-ma33-jpn-jodc_jma,103049,458574
uragami-ma25-jpn-jodc_jma,104195,448365
urakawa-hd02-jpn-jodc_jcg,70137,357047
urangan-59850-aus-bom,166289,278319
us_slip_mi-9076060-usa-noaa,74844,423414
ushuaia-600a-arg-uhslc,106734,134676
uwajima-ma40-jpn-jodc_jma,174369,468814
vaasa-vaa-fin-cmems,175425,418290
vaca_key-8723970-usa-noaa,75010,382574
valdez_ak-562a-usa-uhslc,54738,358860
valencia-val-esp-cmems,181967,242205
valparaiso-081a-chl-uhslc,158920,569592
vancouver-9440083-usa-noaa,164994,164994
vancouver_bc-7735-can-meds,181039,808294
vardo-805a-nor-uhslc,95455,423227
vardo-vaw-nor-nhs,172488,427031
varennes-15660-can-meds,110698,478511
vegesack-4112-deu-wsv,176578,220566
venezia-vene-ita-cv,70053,332889
venice_island-vne-usa-cdwr,8532,136707
veracruz_ver-250a-mex-uhslc,46972,141651
victor_harbor-61490-aus-bom,167446,453931
victoria_harbour_bc-7120-can-meds,112944,547600
vieste-vie-ita-ispra,174664,202720
viken-vik-swe-cmems,181402,385266
viker-vik-nor-nhs,181095,253864
villagarcia-vil-esp-cmems,180172,202966
village_cove-9464212-usa-noaa,128581,128581
virginia_key-8723214-usa-noaa,117992,238127
visby-vis-swe-cmems,69630,525713
vlaardingen-vlaardgn-nld-rws,163730,417734
vlieland_haven-vlielhvn-nld-rws,163243,416855
volanti-vol-usa-cdwr,168382,188872
vung_tau-383a-vnm-uhslc,26295,144626
vuren-vurn-nld-rws,163140,328863
wachapreague-8631044-usa-noaa,71391,335338
wajima-gs03-jpn-jodc_giaj,171757,725350
wakayama-ma28-jpn-jodc_jma,175030,454438
wake-051a-usa-uhslc,61368,560682
wakkanai-360a-jpn-uhslc,59945,442236
wallaroo-61780-aus-bom,165745,309659
warnemunde-war-deu-bfg,68080,188724
washington-8594900-usa-noaa,177890,783005
wauna-9439099-usa-noaa,62425,157323
wehr_geesthacht_up-101-deu-wsv,172757,188954
weipa_humbug_point-63620-aus-bom,175108,374129
wells-8419317-usa-noaa,88246,130938
west_bank_1-8762482-usa-noaa,61644,147543
west_channel_pile-60739-aus-bom,67368,238029
west_neebish_island_mi-9076027-usa-noaa,127018,127955
west_ste_modeste-2595-can-meds,0,164526
west_terschelling-westtslg-nld-rws,163329,417145
western_port_stony_point-60710-aus-bom,103455,347437
westkapelle-westkple-nld-rws,163723,417796
westport-9441102-usa-noaa,57512,133897
weymouth-wey-gbr-cmems,104783,245393
whitby-whi-gbr-bodc,140665,297312
whyalla-61840-aus-bom,162192,265049
wick-wic-gbr-bodc,111664,445541
wierumergronden-wiermgdn-nld-rws,163556,329845
willets_point-8516990-usa-noaa,6664,573175
wilmington_nc-750a-usa-uhslc,61349,714374
windmill_point-8636580-usa-noaa,179995,214211
winter_harbour_bc-8735-can-meds,180701,276308
wladyslawowo-wla-pol-eseas,17071,339719
woods_hole-8447930-usa-noaa,185814,469518
workington-wor-gbr-cmems,175215,242396
wrightsville_beach-8658163-usa-noaa,143539,143539
wyandotte_mi-9044030-usa-noaa,188750,448431
wyndham-165a-aus-uhslc,161384,292610
yaizu-gs23-jpn-jodc_giaj,173201,369808
yakutat_ak-570a-usa-uhslc,164043,472603
yamba-60130-aus-bom,161110,256541
yap-008b-fsm-uhslc,83842,395360
yokohamashinko-hd29-jpn-jodc_jcg,102793,327436
yokosuka-hd08-jpn-jodc_jcg,173885,515335
yonaguni-ma76-jpn-jodc_jma,174605,200753
yorktown_uscg_training_center-8637689-usa-noaa,149634,149634
yoshioka-hd26-jpn-jodc_jcg,67375,198610
zanzibar-151a-tza-uhslc,156591,294461
zollenspieker-102-deu-wsv,173117,188796
