name,lat,lon,cluster,source,max_abs
callao-093b-per-uhslc,-12.068,-77.167,137,uhslc,0.4896372957199042
calumet_harbor_il-9087044-usa-noaa,41.7297,-87.5383,470,noaa,0.866642755109452
cambridge-8571892-usa-noaa,38.5725,-76.0617,807,noaa,1.4251895648531934
cambridge_bay-6240-can-meds,69.12,-105.07,85,meds,0.4161090235504354
cananeia-281a-bra-uhslc,-25.017,-47.925,860,uhslc,1.5375732736117484
cape_bouvard-dvbvd01-aus-bom,-32.6014,115.63,199,bom,0.6681426943134672
cape_ferguson-343a-aus-uhslc,-19.277,147.058,940,uhslc,1.78672181557248
cape_ferguson-59260-aus-bom,-19.2767,147.0583,940,bom,1.7780159296092282
cape_ferguson-h033007a-aus-bom,-19.27,147.05,940,bom,1.756850658589013
cape_hatteras_fishing_pier-8654400-usa-noaa,35.2233,-75.635,776,noaa,1.3572960401166518
cape_may-8536110-usa-noaa,38.9678,-74.9597,788,noaa,1.382867387300383
cape_may_nj-746a-usa-uhslc,38.968,-74.96,788,uhslc,1.384456548143587
cape_town-704a-zaf-uhslc,-33.9,18.433,377,uhslc,0.7624969903549953
cape_vincent_ny-9052000-usa-noaa,44.1303,-76.332,216,noaa,0.57231775157245
cardwell-h035012a-aus-bom,-18.25,146.03,1035,bom,2.309005519226489
carillon_amont-16033-can-meds,45.57,-74.38,795,meds,1.3933752694314343
carillon_aval-16032-can-meds,45.57,-74.38,795,meds,1.4507211521528998
carloforte-car-ita-ispra,39.148,8.3095,124,ispra,0.4651541411807232
carnarvon-167a-aus-uhslc,-24.898,113.652,479,uhslc,0.8761784226282875
carnarvon-62370-aus-bom,-24.8987,113.651,479,bom,1.339338444539053
cartagena-265a-col-uhslc,10.383,-75.533,68,uhslc,0.3803428497781217
cartagena-265b-col-uhslc,10.39,-75.532,68,uhslc,0.6561882555807195
cascais-209a-prt-uhslc,38.692,-9.417,296,uhslc,0.6676627870548779
castletownbere-cas-irl-cmems,51.6496,-9.9034,406,cmems,4.707154439360435
castletownbere_port-cas-irl-mi_c,51.6496,-9.9034,406,mi_c,0.7963790854803096
catania-cat-ita-ispra,37.4981,15.0938,39,ispra,0.3213242797609674
cebu-379a-phl-uhslc,10.3,123.917,237,uhslc,0.5860311221385166
cedar_key-8727520-usa-noaa,29.135,-83.0317,1095,noaa,2.797747347023603
cendering-320a-mys-uhslc,5.265,103.187,309,uhslc,0.6776798181745889
ceuta-207a-esp-uhslc,35.9,-5.317,94,uhslc,0.4391497207900382
ceuta-ceta-esp-ieo,35.89,-5.314,94,ieo,0.6774330378614885
chaleix_noumea-16-fra-refmar,-22.2915,166.4367,59,refmar,0.3590207279808689
chaleixnoumea_60minute-cha-fra-cmems,-22.2915,166.4367,59,cmems,0.3590916058763715
champlain-3350-can-meds,46.44,-72.34,831,meds,1.4800749818974666
charchanga-138a-bgd-uhslc,22.217,91.05,982,uhslc,2.0097529527204947
charleston-8665530-usa-noaa,32.7808,-79.9236,965,noaa,1.8816602186363625
charleston-9432780-usa-noaa,43.345,-124.322,439,noaa,0.8341677661456555
charleston_or-575a-usa-uhslc,43.345,-124.322,439,uhslc,0.8340323352911929
charleston_sc-261b-usa-uhslc,32.782,-79.925,965,uhslc,1.8537538256318864
charlotte_amalie-255a-usa-uhslc,18.335,-64.92,184,uhslc,0.609383061305816
charlotte_amalie-9751639-usa-noaa,18.3472,-64.9258,184,noaa,0.5457145788501061
charlottetown-1700-can-meds,46.23,-63.12,906,meds,1.6524743061476368
cherbourg-13-fra-refmar,49.6514,-1.6355,673,refmar,1.155108246673034
cherbourg_60minute-che-fra-cmems,49.6513,-1.6355,673,cmems,1.1547788009287048
cherry_point-9449424-usa-noaa,48.8633,-122.758,1133,noaa,3.583124655598009
chesapeake_bay_bridge_tunnel-8638863-usa-noaa,36.9667,-76.1133,726,noaa,1.253727588770567
chesapeake_bbt-749a-usa-uhslc,36.967,-76.113,726,uhslc,1.252157027337661
chesapeake_city-8573927-usa-noaa,39.5267,-75.81,815,noaa,1.440770418749229
chiba-hd06-jpn-jodc_jcg,35.568,140.0455,766,jodc_jcg,1.3338331528283456
