name,lat,lon,cluster,source,country,max_abs
kawasaki-ma59-jpn-jodc_jma,35.5,139.7667,483,jodc_jma,jpn,0.8819486576377573
taranto-tar-ita-ispra,40.4756,17.2238,484,ispra,ita,0.8821274338618317
concarneau-160-fra-refmar,47.8735,-3.9072,485,refmar,fra,0.8827294093596105
valparaiso-081a-chl-uhslc,-33.027,-71.627,486,uhslc,chl,0.8837570187250361
shibushiko-0114-jpn-jodc_pahb,31.475,131.1089,487,jodc_pahb,jpn,0.8848927206891988
aburatsu-354a-jpn-uhslc,31.583,131.417,488,uhslc,jpn,0.8885255633329132
katsuura-gs11-jpn-jodc_giaj,35.1294,140.2494,489,jodc_giaj,jpn,0.8889482292457729
hammerfest-hft-nor-nhs,70.6646,23.6832,490,nhs,nor,0.889304636870364
kukup-325a-mys-uhslc,1.325,103.443,491,uhslc,mys,0.8913025991139538
luderitz-702a-zaf-uhslc,-26.65,15.15,492,uhslc,zaf,0.8914340571690961
flores_santa_cruz-210a-prt-uhslc,39.453,-31.12,493,uhslc,prt,0.8917818026065164
maloy-may-nor-nhs,61.9338,5.1133,494,nhs,nor,0.892215759811263
sandown_pier-sdp-gbr-cco,50.6511,-1.1532,495,cco,gbr,0.8956307426675493
eden-60530-aus-bom,-37.0712,149.9083,496,bom,aus,0.9005650173336528
bjorn-2067-swe-smhi,60.6333,17.9667,497,smhi,swe,0.9008068911055948
adak_alaska-040a-usa-uhslc,51.863,-176.632,498,uhslc,usa,0.9021685513299108
vardo-vaw-nor-nhs,70.375,31.104,499,nhs,nor,0.9028900672106044
amami-ma73-jpn-jodc_jma,28.3228,129.5342,500,jodc_jma,jpn,0.903684414555422
nakano_shima-345a-jpn-uhslc,29.842,129.842,501,uhslc,jpn,0.9038135827374466
funchal-218b-prt-uhslc,32.643,-16.913,502,uhslc,prt,0.9043248077753164
draghallan-dra-swe-cmems,62.3333,17.4667,503,cmems,swe,0.9052247861023028
west_ste_modeste-2595-can-meds,51.6,-56.7,504,meds,can,0.90554946264197
kochi-ma38-jpn-jodc_jma,33.4992,133.5692,505,jodc_jma,jpn,0.9076291930067472
san_carlos-674a-mex-uhslc,24.79,-112.12,506,uhslc,mex,0.9076736656083724
nezugaseki-gs07-jpn-jodc_giaj,38.5633,139.5461,507,jodc_giaj,jpn,0.909415888553828
wyandotte_mi-9044030-usa-noaa,42.2023,-83.1475,508,noaa,usa,0.9126454801354666
massacre_bay_ak-550a-usa-uhslc,52.833,173.2,509,uhslc,usa,0.913469783101394
benoa-163a-idn-uhslc,-8.745,115.21,510,uhslc,idn,0.9164571344985664
south_trees-h052026a-aus-bom,-23.85,151.3,511,bom,aus,0.9183696294002868
kozushima-hd09-jpn-jodc_jcg,34.2092,139.1317,512,jodc_jcg,jpn,0.9195124913899642
bayonne_boucau-94-fra-refmar,43.5273,-1.5148,513,refmar,fra,0.9197682920032496
panama_city-8729108-usa-noaa,30.1523,-85.7,514,noaa,usa,0.9233031084764824
cairns-59060-aus-bom,-16.9267,145.78,515,bom,aus,0.9239871835279704
port_aux_basques-665-can-meds,47.57,-59.13,516,meds,can,0.9240133519709812
tannowa-ma29-jpn-jodc_jma,34.3389,135.1781,517,jodc_jma,jpn,0.9264927256823072
legaspi-371a-phl-uhslc,13.145,123.758,518,uhslc,phl,0.9284532514268607
miami_beach-8723170-usa-da_sat,25.7683,-80.1317,519,da_sat,usa,0.931020798134504
trondheim-trd-nor-nhs,63.4365,10.3917,520,nhs,nor,0.931907209757202
